cd_table,age,sexe,qx
THTF0002,0,H,0.00489
THTF0002,1,H,0.000381867
THTF0002,2,H,0.00027143
THTF0002,3,H,0.000221226
THTF0002,4,H,0.000181043
THTF0002,5,H,0.000160956
THTF0002,6,H,0.000140859
THTF0002,7,H,0.000130816
THTF0002,8,H,0.000130833
THTF0002,9,H,0.000120785
THTF0002,10,H,0.000130866
THTF0002,11,H,0.000130883
THTF0002,12,H,0.000161108
THTF0002,13,H,0.000201418
THTF0002,14,H,0.000261896
THTF0002,15,H,0.000372796
THTF0002,16,H,0.000503966
THTF0002,17,H,0.000665571
THTF0002,18,H,0.000827472
THTF0002,19,H,0.000949351
THTF0002,20,H,0.001021017
THTF0002,21,H,0.001052419
THTF0002,22,H,0.001053527
THTF0002,23,H,0.001044498
THTF0002,24,H,0.00104559
THTF0002,25,H,0.001046684
THTF0002,26,H,0.001068126
THTF0002,27,H,0.001089635
THTF0002,28,H,0.001111213
THTF0002,29,H,0.001143067
THTF0002,30,H,0.00116481
THTF0002,31,H,0.001196857
THTF0002,32,H,0.001249501
THTF0002,33,H,0.001322846
THTF0002,34,H,0.001427281
THTF0002,35,H,0.001532149
THTF0002,36,H,0.001658084
THTF0002,37,H,0.001794943
THTF0002,38,H,0.001953186
THTF0002,39,H,0.00214339
THTF0002,40,H,0.002365906
THTF0002,41,H,0.002641953
THTF0002,42,H,0.002930533
THTF0002,43,H,0.003252934
THTF0002,44,H,0.003599349
THTF0002,45,H,0.003970427
THTF0002,46,H,0.004345757
THTF0002,47,H,0.004715178
THTF0002,48,H,0.005078959
THTF0002,49,H,0.005448072
THTF0002,50,H,0.005822981
THTF0002,51,H,0.006236713
THTF0002,52,H,0.006679691
THTF0002,53,H,0.007153139
THTF0002,54,H,0.007669492
THTF0002,55,H,0.008208331
THTF0002,56,H,0.008748552
THTF0002,57,H,0.009324908
THTF0002,58,H,0.009950875
THTF0002,59,H,0.010663891
THTF0002,60,H,0.011456896
THTF0002,61,H,0.012346555
THTF0002,62,H,0.013351055
THTF0002,63,H,0.014478331
THTF0002,64,H,0.015762382
THTF0002,65,H,0.017190902
