cd_table,cd_trajectoire,dt_trajectoire,cd_ct_ref,maturite,cd_choc_s2_gse,tzc
reel 2212 officielle,reel,2022-12-31,officielle,0,CENTRAL,0
reel 2212 officielle,reel,2022-12-31,officielle,1,CENTRAL,0.03176
reel 2212 officielle,reel,2022-12-31,officielle,2,CENTRAL,0.03295
reel 2212 officielle,reel,2022-12-31,officielle,3,CENTRAL,0.03203
reel 2212 officielle,reel,2022-12-31,officielle,4,CENTRAL,0.03152
reel 2212 officielle,reel,2022-12-31,officielle,5,CENTRAL,0.03131
reel 2212 officielle,reel,2022-12-31,officielle,6,CENTRAL,0.0311
reel 2212 officielle,reel,2022-12-31,officielle,7,CENTRAL,0.03091
reel 2212 officielle,reel,2022-12-31,officielle,8,CENTRAL,0.03086
reel 2212 officielle,reel,2022-12-31,officielle,9,CENTRAL,0.03088
reel 2212 officielle,reel,2022-12-31,officielle,10,CENTRAL,0.03092
reel 2212 officielle,reel,2022-12-31,officielle,11,CENTRAL,0.031
reel 2212 officielle,reel,2022-12-31,officielle,12,CENTRAL,0.03085
reel 2212 officielle,reel,2022-12-31,officielle,13,CENTRAL,0.03071
reel 2212 officielle,reel,2022-12-31,officielle,14,CENTRAL,0.03053
reel 2212 officielle,reel,2022-12-31,officielle,15,CENTRAL,0.03022
reel 2212 officielle,reel,2022-12-31,officielle,16,CENTRAL,0.02974
reel 2212 officielle,reel,2022-12-31,officielle,17,CENTRAL,0.02916
reel 2212 officielle,reel,2022-12-31,officielle,18,CENTRAL,0.02859
reel 2212 officielle,reel,2022-12-31,officielle,19,CENTRAL,0.02807
reel 2212 officielle,reel,2022-12-31,officielle,20,CENTRAL,0.02765
reel 2212 officielle,reel,2022-12-31,officielle,21,CENTRAL,0.02735
reel 2212 officielle,reel,2022-12-31,officielle,22,CENTRAL,0.02715
reel 2212 officielle,reel,2022-12-31,officielle,23,CENTRAL,0.02703
reel 2212 officielle,reel,2022-12-31,officielle,24,CENTRAL,0.02697
reel 2212 officielle,reel,2022-12-31,officielle,25,CENTRAL,0.02695
reel 2212 officielle,reel,2022-12-31,officielle,26,CENTRAL,0.02698
reel 2212 officielle,reel,2022-12-31,officielle,27,CENTRAL,0.02703
reel 2212 officielle,reel,2022-12-31,officielle,28,CENTRAL,0.02711
reel 2212 officielle,reel,2022-12-31,officielle,29,CENTRAL,0.0272
reel 2212 officielle,reel,2022-12-31,officielle,30,CENTRAL,0.0273
reel 2212 officielle,reel,2022-12-31,officielle,31,CENTRAL,0.02742
reel 2212 officielle,reel,2022-12-31,officielle,32,CENTRAL,0.02753
reel 2212 officielle,reel,2022-12-31,officielle,33,CENTRAL,0.02766
reel 2212 officielle,reel,2022-12-31,officielle,34,CENTRAL,0.02778
