cd_table,cd_trajectoire,dt_trajectoire,scenario,cd_classe_actif,cd_choc_s2_gse,maturite,period,tzc
gse_2212_ssva,reel,2022-12-31,1,OBLIGATION,CENTRAL,1,0,0.03176
gse_2212_ssva,reel,2022-12-31,1,OBLIGATION,CENTRAL,1,1,0.0342492
gse_2212_ssva,reel,2022-12-31,1,OBLIGATION,CENTRAL,1,2,0.0304819
gse_2212_ssva,reel,2022-12-31,1,OBLIGATION,CENTRAL,1,3,0.0305299
gse_2212_ssva,reel,2022-12-31,1,OBLIGATION,CENTRAL,1,4,0.0314423
gse_2212_ssva,reel,2022-12-31,1,OBLIGATION,CENTRAL,1,5,0.0315735
gse_2212_ssva,reel,2022-12-31,1,OBLIGATION,CENTRAL,1,6,0.0319386
gse_2212_ssva,reel,2022-12-31,1,OBLIGATION,CENTRAL,1,7,0.0334135
gse_2212_ssva,reel,2022-12-31,1,OBLIGATION,CENTRAL,1,8,0.0347838
gse_2212_ssva,reel,2022-12-31,1,OBLIGATION,CENTRAL,1,9,0.0359295
gse_2212_ssva,reel,2022-12-31,1,OBLIGATION,CENTRAL,1,10,0.0374423
gse_2212_ssva,reel,2022-12-31,1,OBLIGATION,CENTRAL,1,11,0.0359011
gse_2212_ssva,reel,2022-12-31,1,OBLIGATION,CENTRAL,1,12,0.0368853
gse_2212_ssva,reel,2022-12-31,1,OBLIGATION,CENTRAL,1,13,0.0372708
gse_2212_ssva,reel,2022-12-31,1,OBLIGATION,CENTRAL,1,14,0.0362377
gse_2212_ssva,reel,2022-12-31,1,OBLIGATION,CENTRAL,1,15,0.0342051
gse_2212_ssva,reel,2022-12-31,1,OBLIGATION,CENTRAL,1,16,0.0329156
gse_2212_ssva,reel,2022-12-31,1,OBLIGATION,CENTRAL,1,17,0.0334348
gse_2212_ssva,reel,2022-12-31,1,OBLIGATION,CENTRAL,1,18,0.034794
gse_2212_ssva,reel,2022-12-31,1,OBLIGATION,CENTRAL,1,19,0.0374055
gse_2212_ssva,reel,2022-12-31,1,OBLIGATION,CENTRAL,1,20,0.0407521
gse_2212_ssva,reel,2022-12-31,1,OBLIGATION,CENTRAL,1,21,0.0441321
gse_2212_ssva,reel,2022-12-31,1,OBLIGATION,CENTRAL,1,22,0.0474566
gse_2212_ssva,reel,2022-12-31,1,OBLIGATION,CENTRAL,1,23,0.0506654
