cd_table,generation,age,sexe,qx
TGHTGF05,1900,96,F,0.19644
TGHTGF05,1900,97,F,0.212877694
TGHTGF05,1900,98,F,0.230071146
TGHTGF05,1900,99,F,0.24797733
TGHTGF05,1900,100,F,0.266670307
TGHTGF05,1900,101,F,0.286044087
TGHTGF05,1900,102,F,0.306143736
TGHTGF05,1900,103,F,0.327044498
TGHTGF05,1900,104,F,0.348598235
TGHTGF05,1900,105,F,0.370884774
TGHTGF05,1900,106,F,0.393840283
TGHTGF05,1900,107,F,0.416816547
TGHTGF05,1900,108,F,0.441788743
TGHTGF05,1900,109,F,0.465469613
TGHTGF05,1900,110,F,0.490956072
TGHTGF05,1900,111,F,0.517766497
TGHTGF05,1900,112,F,0.536842105
TGHTGF05,1900,113,F,0.568181818
TGHTGF05,1900,114,F,0.578947368
TGHTGF05,1900,115,F,0.625
TGHTGF05,1900,116,F,0.666666667
TGHTGF05,1900,117,F,1
TGHTGF05,1900,118,F,0
TGHTGF05,1900,119,F,0
TGHTGF05,1900,120,F,0
TGHTGF05,1901,95,F,0.17985
TGHTGF05,1901,96,F,0.195525209
TGHTGF05,1901,97,F,0.211931069
TGHTGF05,1901,98,F,0.229075313
TGHTGF05,1901,99,F,0.246975178
TGHTGF05,1901,100,F,0.265595494
TGHTGF05,1901,101,F,0.284960303
TGHTGF05,1901,102,F,0.305028074
TGHTGF05,1901,103,F,0.325798838
TGHTGF05,1901,104,F,0.347381177
TGHTGF05,1901,105,F,0.369506911
TGHTGF05,1901,106,F,0.392015707
TGHTGF05,1901,107,F,0.415500538
TGHTGF05,1901,108,F,0.439226519
TGHTGF05,1901,109,F,0.463054187
TGHTGF05,1901,110,F,0.489296636
TGHTGF05,1901,111,F,0.51497006
TGHTGF05,1901,112,F,0.543209877
TGHTGF05,1901,113,F,0.567567568
TGHTGF05,1901,114,F,0.5625
TGHTGF05,1901,115,F,0.714285714
TGHTGF05,1901,116,F,0.5
TGHTGF05,1901,117,F,1
TGHTGF05,1901,118,F,0
TGHTGF05,1901,119,F,0
TGHTGF05,1901,120,F,0
TGHTGF05,1902,94,F,0.16408
TGHTGF05,1902,95,F,0.178976457
TGHTGF05,1902,96,F,0.194605936
TGHTGF05,1902,97,F,0.210981456
TGHTGF05,1902,98,F,0.228097127
TGHTGF05,1902,99,F,0.24595277
TGHTGF05,1902,100,F,0.264526295
TGHTGF05,1902,101,F,0.283877879
TGHTGF05,1902,102,F,0.303889304
TGHTGF05,1902,103,F,0.324594391
TGHTGF05,1902,104,F,0.346007
TGHTGF05,1902,105,F,0.367793724
TGHTGF05,1902,106,F,0.390534821
TGHTGF05,1902,107,F,0.413510101
TGHTGF05,1902,108,F,0.437029064
TGHTGF05,1902,109,F,0.462715105
TGHTGF05,1902,110,F,0.483985765
TGHTGF05,1902,111,F,0.510344828
TGHTGF05,1902,112,F,0.535211268
TGHTGF05,1902,113,F,0.575757576
TGHTGF05,1902,114,F,0.571428571
TGHTGF05,1902,115,F,0.666666667
TGHTGF05,1902,116,F,0.5
TGHTGF05,1902,117,F,1
TGHTGF05,1902,118,F,0
TGHTGF05,1902,119,F,0
TGHTGF05,1902,120,F,0
TGHTGF05,1903,93,F,0.14913
TGHTGF05,1903,94,F,0.163244679
TGHTGF05,1903,95,F,0.178097392
TGHTGF05,1903,96,F,0.193687305
TGHTGF05,1903,97,F,0.210054469
TGHTGF05,1903,98,F,0.227114188
TGHTGF05,1903,99,F,0.244940466
TGHTGF05,1903,100,F,0.263482139
TGHTGF05,1903,101,F,0.282771536
TGHTGF05,1903,102,F,0.302697998
TGHTGF05,1903,103,F,0.323265102
TGHTGF05,1903,104,F,0.344522316
TGHTGF05,1903,105,F,0.366347777
TGHTGF05,1903,106,F,0.388543517
TGHTGF05,1903,107,F,0.411764706
TGHTGF05,1903,108,F,0.434567901
TGHTGF05,1903,109,F,0.46069869
TGHTGF05,1903,110,F,0.481781377
TGHTGF05,1903,111,F,0.5078125
TGHTGF05,1903,112,F,0.53968254
TGHTGF05,1903,113,F,0.551724138
TGHTGF05,1903,114,F,0.615384615
TGHTGF05,1903,115,F,0.6
TGHTGF05,1903,116,F,0.5
TGHTGF05,1903,117,F,1
TGHTGF05,1903,118,F,0
TGHTGF05,1903,119,F,0
TGHTGF05,1903,120,F,0
TGHTGF05,1904,92,F,0.13499
TGHTGF05,1904,93,F,0.148321985
TGHTGF05,1904,94,F,0.162397687
TGHTGF05,1904,95,F,0.177224626
TGHTGF05,1904,96,F,0.192787221
TGHTGF05,1904,97,F,0.209111095
TGHTGF05,1904,98,F,0.226143831
TGHTGF05,1904,99,F,0.243910218
TGHTGF05,1904,100,F,0.262430794
TGHTGF05,1904,101,F,0.281598513
TGHTGF05,1904,102,F,0.301423027
TGHTGF05,1904,103,F,0.321937322
TGHTGF05,1904,104,F,0.342857143
TGHTGF05,1904,105,F,0.364450128
TGHTGF05,1904,106,F,0.386820926
TGHTGF05,1904,107,F,0.409351928
TGHTGF05,1904,108,F,0.433333333
TGHTGF05,1904,109,F,0.455882353
TGHTGF05,1904,110,F,0.481981982
TGHTGF05,1904,111,F,0.504347826
TGHTGF05,1904,112,F,0.526315789
TGHTGF05,1904,113,F,0.555555556
TGHTGF05,1904,114,F,0.583333333
TGHTGF05,1904,115,F,0.6
TGHTGF05,1904,116,F,0.5
TGHTGF05,1904,117,F,1
TGHTGF05,1904,118,F,0
TGHTGF05,1904,119,F,0
TGHTGF05,1904,120,F,0
TGHTGF05,1905,91,F,0.11884
TGHTGF05,1905,92,F,0.134209451
TGHTGF05,1905,93,F,0.147516057
TGHTGF05,1905,94,F,0.161572052
TGHTGF05,1905,95,F,0.176349765
TGHTGF05,1905,96,F,0.191886356
TGHTGF05,1905,97,F,0.208161129
TGHTGF05,1905,98,F,0.225164411
TGHTGF05,1905,99,F,0.242904616
TGHTGF05,1905,100,F,0.261344089
TGHTGF05,1905,101,F,0.280414358
TGHTGF05,1905,102,F,0.300078116
TGHTGF05,1905,103,F,0.3203125
TGHTGF05,1905,104,F,0.341308937
TGHTGF05,1905,105,F,0.362535613
TGHTGF05,1905,106,F,0.384916201
TGHTGF05,1905,107,F,0.407811081
TGHTGF05,1905,108,F,0.430981595
TGHTGF05,1905,109,F,0.452830189
TGHTGF05,1905,110,F,0.477832512
TGHTGF05,1905,111,F,0.509433962
TGHTGF05,1905,112,F,0.519230769
TGHTGF05,1905,113,F,0.56
TGHTGF05,1905,114,F,0.545454545
TGHTGF05,1905,115,F,0.6
TGHTGF05,1905,116,F,0.5
TGHTGF05,1905,117,F,1
TGHTGF05,1905,118,F,0
TGHTGF05,1905,119,F,0
TGHTGF05,1905,120,F,0
TGHTGF05,1906,90,F,0.10655
TGHTGF05,1906,91,F,0.118115172
TGHTGF05,1906,92,F,0.133452635
TGHTGF05,1906,93,F,0.146711191
TGHTGF05,1906,94,F,0.160727772
TGHTGF05,1906,95,F,0.175494928
TGHTGF05,1906,96,F,0.190995907
TGHTGF05,1906,97,F,0.207205274
TGHTGF05,1906,98,F,0.224194609
TGHTGF05,1906,99,F,0.241874377
TGHTGF05,1906,100,F,0.260126249
TGHTGF05,1906,101,F,0.2790615
TGHTGF05,1906,102,F,0.29857002
TGHTGF05,1906,103,F,0.318804921
TGHTGF05,1906,104,F,0.339525284
TGHTGF05,1906,105,F,0.3609375
TGHTGF05,1906,106,F,0.382640587
TGHTGF05,1906,107,F,0.404950495
TGHTGF05,1906,108,F,0.429284526
TGHTGF05,1906,109,F,0.451895044
TGHTGF05,1906,110,F,0.473404255
TGHTGF05,1906,111,F,0.505050505
TGHTGF05,1906,112,F,0.530612245
TGHTGF05,1906,113,F,0.565217391
TGHTGF05,1906,114,F,0.6
TGHTGF05,1906,115,F,0.5
TGHTGF05,1906,116,F,0.5
TGHTGF05,1906,117,F,1
TGHTGF05,1906,118,F,0
TGHTGF05,1906,119,F,0
TGHTGF05,1906,120,F,0
TGHTGF05,1907,89,F,0.09379
TGHTGF05,1907,90,F,0.105858465
TGHTGF05,1907,91,F,0.11740386
TGHTGF05,1907,92,F,0.132671468
TGHTGF05,1907,93,F,0.145920325
TGHTGF05,1907,94,F,0.159902597
TGHTGF05,1907,95,F,0.174632064
TGHTGF05,1907,96,F,0.190101544
TGHTGF05,1907,97,F,0.206285714
TGHTGF05,1907,98,F,0.223182145
TGHTGF05,1907,99,F,0.240691272
TGHTGF05,1907,100,F,0.258902929
TGHTGF05,1907,101,F,0.277659368
TGHTGF05,1907,102,F,0.29707618
TGHTGF05,1907,103,F,0.316924251
TGHTGF05,1907,104,F,0.337709497
TGHTGF05,1907,105,F,0.358920287
TGHTGF05,1907,106,F,0.380263158
TGHTGF05,1907,107,F,0.403397028
TGHTGF05,1907,108,F,0.425266904
TGHTGF05,1907,109,F,0.448916409
TGHTGF05,1907,110,F,0.471910112
TGHTGF05,1907,111,F,0.5
TGHTGF05,1907,112,F,0.531914894
