cd_table,cd_classe_actif_detail,cd_cqs,nb_duration_min,nb_duration_max,tx_choc_spread_a,tx_choc_spread_b
hyp_s2_chocs_spread_2016,CONVERTIBLE,4,0,5,0,0.045
hyp_s2_chocs_spread_2016,ETATNONEEE,4,0,5,0,0.025
hyp_s2_chocs_spread_2016,CONVERTIBLE,0,0,5,0,0.009
hyp_s2_chocs_spread_2016,ETATNONEEE,0,0,5,0,0
hyp_s2_chocs_spread_2016,PRIVEE,0,0,5,0,0.009
hyp_s2_chocs_spread_2016,SECURISEEPUBLIC,0,0,5,0,0.007
hyp_s2_chocs_spread_2016,CONVERTIBLE,5,0,5,0,0.075
hyp_s2_chocs_spread_2016,ETATNONEEE,5,0,5,0,0.045
hyp_s2_chocs_spread_2016,PRIVEE,5,0,5,0,0.075
hyp_s2_chocs_spread_2016,SECURISEEPUBLIC,5,0,5,0,0.075
hyp_s2_chocs_spread_2016,PRIVEE,4,0,5,0,0.045
hyp_s2_chocs_spread_2016,SECURISEEPUBLIC,4,0,5,0,0.045
hyp_s2_chocs_spread_2016,CONVERTIBLE,1,0,5,0,0.011
hyp_s2_chocs_spread_2016,ETATNONEEE,1,0,5,0,0
hyp_s2_chocs_spread_2016,PRIVEE,1,0,5,0,0.011
hyp_s2_chocs_spread_2016,SECURISEEPUBLIC,1,0,5,0,0.009
hyp_s2_chocs_spread_2016,CONVERTIBLE,3,0,5,0,0.025
hyp_s2_chocs_spread_2016,ETATNONEEE,3,0,5,0,0.014
hyp_s2_chocs_spread_2016,PRIVEE,3,0,5,0,0.025
hyp_s2_chocs_spread_2016,SECURISEEPUBLIC,3,0,5,0,0.025
hyp_s2_chocs_spread_2016,CONVERTIBLE,6,0,5,0,0.075
hyp_s2_chocs_spread_2016,ETATNONEEE,6,0,5,0,0.045
hyp_s2_chocs_spread_2016,PRIVEE,6,0,5,0,0.075
hyp_s2_chocs_spread_2016,SECURISEEPUBLIC,6,0,5,0,0.075
hyp_s2_chocs_spread_2016,CONVERTIBLE,7,0,5,0,0.03
hyp_s2_chocs_spread_2016,ETATNONEEE,7,0,5,0,0.045
hyp_s2_chocs_spread_2016,PRIVEE,7,0,5,0,0.03
hyp_s2_chocs_spread_2016,SECURISEEPUBLIC,7,0,5,0,0.03
hyp_s2_chocs_spread_2016,CONVERTIBLE,2,0,5,0,0.014
