         27591 function calls (26769 primitive calls) in 0.792 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.265    0.020    0.265    0.020 {built-in method read_csv}
      248    0.202    0.001    0.202    0.001 {method 'collect' of 'builtins.PyLazyFrame' objects}
     53/7    0.059    0.001    0.018    0.003 {method 'acquire' of '_thread.lock' objects}
       13    0.029    0.002    0.029    0.002 {method 'write_csv' of 'builtins.PyDataFrame' objects}
       21    0.018    0.001    0.018    0.001 {built-in method nt.remove}
       58    0.013    0.000    0.013    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       41    0.011    0.000    0.011    0.000 {built-in method nt._path_exists}
    80/28    0.008    0.000    0.391    0.014 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\_utils\deprecation.py:130(wrapper)
        1    0.008    0.008    0.127    0.127 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\domaines\gse\ops\GseOutputBuildCrn.py:20(gseOutputBuildCrn)
    14/13    0.008    0.001    0.408    0.031 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\dao\fs\DaoFs.py:38(readData)
       13    0.007    0.001    0.294    0.023 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\io\csv\functions.py:35(read_csv)
       13    0.007    0.001    0.067    0.005 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\threading.py:323(wait)
      248    0.006    0.000    0.212    0.001 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\lazyframe\frame.py:1829(collect)
        2    0.006    0.003    0.006    0.003 {method 'melt' of 'builtins.PyDataFrame' objects}
      174    0.005    0.000    0.097    0.001 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\dataframe\frame.py:8488(with_columns)
      264    0.004    0.000    0.004    0.000 {method 'lazy' of 'builtins.PyDataFrame' objects}
      174    0.004    0.000    0.017    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\lazyframe\frame.py:4199(with_columns)
       26    0.004    0.000    0.004    0.000 {built-in method nt._path_isdir}
      3/1    0.003    0.001    0.004    0.004 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:512(_parse)
5032/4360    0.003    0.000    0.008    0.000 {built-in method builtins.isinstance}
      246    0.003    0.000    0.016    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\_utils\parse_expr_input.py:50(_parse_positional_inputs)
      502    0.003    0.000    0.010    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\functions\col.py:145(__new__)
       14    0.003    0.000    0.006    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\lazyframe\frame.py:2852(filter)
      502    0.003    0.000    0.007    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\functions\col.py:20(_create_col)
      584    0.003    0.000    0.010    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\_utils\parse_expr_input.py:85(parse_as_expression)
       58    0.002    0.000    0.002    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      261    0.002    0.000    0.004    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\_utils\wrap.py:12(wrap_df)
    85/78    0.002    0.000    0.008    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\functions\lit.py:28(lit)
       13    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
        1    0.002    0.002    0.073    0.073 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\domaines\gse\ops\GseCtRefObligPzcBuild.py:13(gseCtRefObligPzcBuild)
      607    0.002    0.000    0.003    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\_utils\wrap.py:24(wrap_expr)
      193    0.002    0.000    0.003    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\os.py:709(__getitem__)
      193    0.001    0.000    0.005    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\_collections_abc.py:804(get)
      138    0.001    0.000    0.004    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\expr\expr.py:1919(cast)
      336    0.001    0.000    0.005    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\typing.py:1212(__instancecheck__)
      502    0.001    0.000    0.001    0.000 {col}
      264    0.001    0.000    0.007    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\dataframe\frame.py:8322(lazy)
     14/8    0.001    0.000    0.003    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\series\series.py:269(__init__)
       13    0.001    0.000    0.271    0.021 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\io\csv\functions.py:459(_read_csv_impl)
       14    0.001    0.000    0.050    0.004 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\dataframe\frame.py:4168(filter)
      353    0.001    0.000    0.002    0.000 {built-in method builtins.issubclass}
     12/6    0.001    0.000    0.062    0.010 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\queue.py:154(get)
       70    0.001    0.000    0.002    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\inspect.py:905(getfile)
        1    0.001    0.001    0.211    0.211 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\domaines\gse\events\InitGblGse.py:17(initGblGse)
      265    0.001    0.000    0.002    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\dataframe\frame.py:463(_from_pydf)
     1721    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FF8CC9E48F0}
       58    0.001    0.000    0.020    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:1148(emit)
       29    0.001    0.000    0.003    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:298(__init__)
      916    0.001    0.000    0.002    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\expr\expr.py:134(_from_pyexpr)
      174    0.001    0.000    0.001    0.000 {method 'with_columns' of 'builtins.PyLazyFrame' objects}
       58    0.001    0.000    0.004    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:690(format)
      266    0.001    0.000    0.002    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\_utils\wrap.py:16(wrap_ldf)
      219    0.001    0.000    0.001    0.000 {method 'columns' of 'builtins.PyDataFrame' objects}
      263    0.001    0.000    0.007    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\_utils\parse_expr_input.py:59(_parse_inputs_as_iterable)
      149    0.001    0.000    0.001    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\ntpath.py:179(splitroot)
       14    0.001    0.000    0.005    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\_utils\various.py:391(find_stacklevel)
      248    0.001    0.000    0.001    0.000 {method 'optimization_toggle' of 'builtins.PyLazyFrame' objects}
       78    0.001    0.000    0.001    0.000 {lit}
      336    0.001    0.000    0.004    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\typing.py:1483(__subclasscheck__)
      138    0.001    0.000    0.001    0.000 {method 'cast' of 'builtins.PyExpr' objects}
      138    0.001    0.000    0.002    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\datatypes\convert.py:388(py_type_to_dtype)
      240    0.001    0.000    0.016    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\_utils\parse_expr_input.py:20(parse_as_list_of_expressions)
       53    0.001    0.000    0.002    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\ntpath.py:107(join)
       58    0.001    0.000    0.024    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:1011(handle)
        7    0.001    0.000    0.001    0.000 {method 'drop' of 'builtins.PyLazyFrame' objects}
      119    0.001    0.000    0.001    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\dependencies.py:204(_check_for_numpy)
     14/8    0.001    0.000    0.002    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\_utils\construction\series.py:78(sequence_to_pyseries)
       16    0.001    0.000    0.001    0.000 {method 'join' of 'builtins.PyLazyFrame' objects}
       58    0.001    0.000    0.001    0.000 {built-in method time.localtime}
      193    0.001    0.000    0.001    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\os.py:783(encodekey)
       16    0.001    0.000    0.009    0.001 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\lazyframe\frame.py:3982(join)
        1    0.001    0.001    0.010    0.010 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\domaines\passif\ops\MpPassifEpInitGblBuild.py:13(mpPassifEpInitGblBuild)
       58    0.001    0.000    0.003    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:1137(flush)
       29    0.001    0.000    0.002    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:1611(findCaller)
       19    0.001    0.000    0.001    0.000 {method 'select' of 'builtins.PyLazyFrame' objects}
       58    0.001    0.000    0.001    0.000 {built-in method time.strftime}
       29    0.001    0.000    0.031    0.001 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:1660(_log)
       29    0.001    0.000    0.001    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\ntpath.py:257(splitext)
        6    0.001    0.000    0.002    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\dataframe\frame.py:4073(rename)
        2    0.001    0.000    0.002    0.001 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\domaines\s2\expr\S2Expr.py:98(calcMtVmIndicesInitS2)
       13    0.001    0.000    0.017    0.001 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\io\_utils.py:106(prepare_file_arg)
      336    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
      512    0.001    0.000    0.001    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\lazyframe\frame.py:317(_from_pyldf)
    30/29    0.001    0.000    0.032    0.001 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:2208(info)
        1    0.001    0.001    0.001    0.001 {built-in method _io.open}
       16    0.001    0.000    0.052    0.003 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\dataframe\frame.py:6541(join)
        1    0.001    0.001    0.020    0.020 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\dao\fs\DaoFs.py:20(__post_init__)
        2    0.001    0.000    0.001    0.000 {method 'shift' of 'builtins.PyExpr' objects}
        4    0.001    0.000    0.001    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\functions\whenthen.py:16(when)
       19    0.001    0.000    0.010    0.001 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\dataframe\frame.py:8361(select)
       29    0.001    0.000    0.032    0.001 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:1529(info)
       29    0.001    0.000    0.001    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\ntpath.py:236(split)
       13    0.001    0.000    0.032    0.002 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\dataframe\frame.py:2479(write_csv)
       39    0.001    0.000    0.015    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\_utils\various.py:187(normalize_filepath)
       19    0.000    0.000    0.007    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\lazyframe\frame.py:3038(select)
        2    0.000    0.000    0.009    0.004 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\dataframe\group_by.py:141(agg)
        1    0.000    0.000    0.007    0.007 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\domaines\passif\ops\PrdAdPassif.py:8(prdAdPassifBuild)
      116    0.000    0.000    0.001    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:200(_is_internal_frame)
