         431300 function calls (425198 primitive calls) in 2.660 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2120    0.863    0.000    0.863    0.000 {method 'collect' of 'builtins.PyLazyFrame' objects}
      575    0.120    0.000    0.123    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    18080    0.088    0.000    0.279    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\functions\col.py:145(__new__)
    20640    0.080    0.000    0.290    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\_utils\parse_expr_input.py:85(parse_as_expression)
    18080    0.077    0.000    0.191    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\functions\col.py:20(_create_col)
     2720    0.072    0.000    0.376    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\_utils\parse_expr_input.py:50(_parse_positional_inputs)
    20480    0.062    0.000    0.093    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\_utils\wrap.py:24(wrap_expr)
     2120    0.053    0.000    0.952    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\lazyframe\frame.py:1829(collect)
91461/85381    0.046    0.000    0.090    0.000 {built-in method builtins.isinstance}
       40    0.041    0.001    0.527    0.013 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\domaines\passif\ops\MpPassifEpProjPerfBuild.py:8(mpPassifEpProjPerfBuild)
     1920    0.041    0.000    0.075    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\functions\lit.py:28(lit)
    28560    0.030    0.000    0.043    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\expr\expr.py:134(_from_pyexpr)
     2400    0.029    0.000    0.029    0.000 {method 'lazy' of 'builtins.PyDataFrame' objects}
        6    0.029    0.005    0.029    0.005 {method 'write_csv' of 'builtins.PyDataFrame' objects}
