cd_choc_s2_gse,maturite,intraperiod,pzc
CENTRAL,0,Beg,1.0
CENTRAL,1,Beg,1.0
CENTRAL,2,Beg,0.9692176475149259
CENTRAL,3,Beg,0.9372196812543512
CENTRAL,4,Beg,0.9097520317260029
CENTRAL,5,Beg,0.8832616787816105
CENTRAL,6,Beg,0.8571441307424285
CENTRAL,7,Beg,0.8321378546087703
CENTRAL,8,Beg,0.8080806982749776
CENTRAL,9,Beg,0.7841560441286596
CENTRAL,10,Beg,0.7605486048108097
CENTRAL,11,Beg,0.737480173471292
CENTRAL,12,Beg,0.7147508522660245
CENTRAL,13,Beg,0.6944712907790673
CENTRAL,14,Beg,0.6748785656395044
CENTRAL,15,Beg,0.6563735198354309
CENTRAL,16,Beg,0.6398090061837812
CENTRAL,17,Beg,0.6256892160947602
CENTRAL,18,Beg,0.6134663263898874
CENTRAL,19,Beg,0.6020584276616712
CENTRAL,20,Beg,0.5909747989245541
CENTRAL,21,Beg,0.5795560829596123
CENTRAL,22,Beg,0.5674310141824865
CENTRAL,23,Beg,0.5546957639278794
CENTRAL,24,Beg,0.5414869775149963
CENTRAL,25,Beg,0.5279755720549958
CENTRAL,26,Beg,0.5143603923754995
CENTRAL,27,Beg,0.5004818870646284
CENTRAL,28,Beg,0.486693445724715
CENTRAL,29,Beg,0.47285195444873596
CENTRAL,30,Beg,0.45920297072298477
CENTRAL,31,Beg,0.4457397411980537
CENTRAL,32,Beg,0.4323261625253972
CENTRAL,33,Beg,0.4193490506755106
CENTRAL,34,Beg,0.4064134410183297
CENTRAL,35,Beg,0.3939077099492238
CENTRAL,36,Beg,0.38156788197658853
CENTRAL,37,Beg,0.36952134827541017
CENTRAL,38,Beg,0.35789362021448257
CENTRAL,39,Beg,0.34642300949699756
CENTRAL,40,Beg,0.3353626189328297
CENTRAL,41,Beg,0.32457977441195407
CENTRAL,42,Beg,0.3140705048743862
CENTRAL,43,Beg,0.30383077815910675
CENTRAL,44,Beg,0.2939793433121605
CENTRAL,45,Beg,0.2843866566227838
CENTRAL,46,Beg,0.2750483100883018
CENTRAL,47,Beg,0.2660787754938051
CENTRAL,48,Beg,0.25723435623208285
CENTRAL,49,Beg,0.2488628853697023
CENTRAL,50,Beg,0.24060730199404515
CENTRAL,51,Beg,0.23269347786616884
CENTRAL,52,Beg,0.22500069400670164
CENTRAL,53,Beg,0.21752428719232456
CENTRAL,54,Beg,0.21036787184760994
CENTRAL,55,Beg,0.203415357675981
CENTRAL,56,Beg,0.1966621295157801
CENTRAL,57,Beg,0.19010363357686444
CENTRAL,58,Beg,0.1838370688468582
CENTRAL,59,Beg,0.17765292017543488
CENTRAL,60,Beg,0.17174852394414208
CENTRAL,61,Beg,0.16611455101834216
CENTRAL,62,Beg,0.16055164300340766
CENTRAL,63,Beg,0.1552473661392102
CENTRAL,64,Beg,0.15000915167380074
CENTRAL,65,Beg,0.14501805781156665
CENTRAL,66,Beg,0.14017673544219178
CENTRAL,67,Beg,0.13556807065318902
CENTRAL,68,Beg,0.1310130442465708
CENTRAL,69,Beg,0.126679891330113
CENTRAL,70,Beg,0.12247819176012152
CENTRAL,71,Beg,0.11840438665694773
CENTRAL,72,Beg,0.11445499872562948
CENTRAL,73,Beg,0.11062663087188922
CENTRAL,74,Beg,0.10691596482584148
CENTRAL,75,Beg,0.10339393369055701
CENTRAL,76,Beg,0.09990748844816855
CENTRAL,77,Beg,0.09660042820723119
CENTRAL,78,Beg,0.09339560073520856
