cd_choc_s2_gse,scenario,period,intraperiod,facteur_perf_tot
CENTRAL,1,1,Beg,1.03176
CENTRAL,1,1,End,1.0
CENTRAL,1,1,Mid,1.0157558761828553
CENTRAL,1,2,Beg,1.0341413725091106
CENTRAL,1,2,End,1.0
CENTRAL,1,2,Mid,1.0169274175225638
CENTRAL,1,3,Beg,1.0301924574724346
CENTRAL,1,3,End,1.0
CENTRAL,1,3,Mid,1.0149839690716471
CENTRAL,1,4,Beg,1.029991511667226
CENTRAL,1,4,End,1.0
CENTRAL,1,4,Mid,1.0148849745992037
CENTRAL,1,5,Beg,1.030470427437402
CENTRAL,1,5,End,1.0
CENTRAL,1,5,Mid,1.0151208930159017
CENTRAL,1,6,Beg,1.0300506412431085
CENTRAL,1,6,End,1.0
CENTRAL,1,6,Mid,1.014914105352324
CENTRAL,1,7,Beg,1.0297707350084562
CENTRAL,1,7,End,1.0
CENTRAL,1,7,Mid,1.0147761994688564
CENTRAL,1,8,Beg,1.0305100678945893
CENTRAL,1,8,End,1.0
CENTRAL,1,8,Mid,1.0151404178213914
CENTRAL,1,9,Beg,1.0310400139695508
CENTRAL,1,9,End,1.0
CENTRAL,1,9,Mid,1.0154014053415283
CENTRAL,1,10,Beg,1.0312800698504685
CENTRAL,1,10,End,1.0
CENTRAL,1,10,Mid,1.0155196058424814
CENTRAL,1,11,Beg,1.0318003415220942
CENTRAL,1,11,End,1.0
CENTRAL,1,11,Mid,1.0157757338714557
CENTRAL,1,12,Beg,1.029201439650885
CENTRAL,1,12,End,1.0
CENTRAL,1,12,Mid,1.0144956577782307
CENTRAL,1,13,Beg,1.0290314823097058
CENTRAL,1,13,End,1.0
CENTRAL,1,13,Mid,1.0144118898700398
CENTRAL,1,14,Beg,1.028192858555161
CENTRAL,1,14,End,1.0
CENTRAL,1,14,Mid,1.0139984509629
CENTRAL,1,15,Beg,1.0258897788114156
CENTRAL,1,15,End,1.0
CENTRAL,1,15,Mid,1.0128621716756014
CENTRAL,1,16,Beg,1.022566778723069
CENTRAL,1,16,End,1.0
CENTRAL,1,16,Mid,1.011220440222145
CENTRAL,1,17,Beg,1.0199243042023216
CENTRAL,1,17,End,1.0
CENTRAL,1,17,Mid,1.0099130181368696
CENTRAL,1,18,Beg,1.0189481588564806
CENTRAL,1,18,End,1.0
CENTRAL,1,18,Mid,1.009429620556322
CENTRAL,1,19,Beg,1.0187548246681362
CENTRAL,1,19,End,1.0
CENTRAL,1,19,Mid,1.0093338519380675
CENTRAL,1,20,Beg,1.0197025211203548
CENTRAL,1,20,End,1.0
CENTRAL,1,20,Mid,1.0098032091057914
CENTRAL,1,21,Beg,1.0213683575167187
CENTRAL,1,21,End,1.0
CENTRAL,1,21,Mid,1.0106277047047143
CENTRAL,1,22,Beg,1.0229589823517435
CENTRAL,1,22,End,1.0
CENTRAL,1,22,Mid,1.011414347511317
CENTRAL,1,23,Beg,1.0243935440026668
CENTRAL,1,23,End,1.0
CENTRAL,1,23,Mid,1.0121232849819566
CENTRAL,1,24,Beg,1.0255909670354846
CENTRAL,1,24,End,1.0
CENTRAL,1,24,Mid,1.0127146523258586
CENTRAL,1,25,Beg,1.0264701168311514
CENTRAL,1,25,End,1.0
CENTRAL,1,25,Mid,1.013148615372469
CENTRAL,1,26,Beg,1.0277302848905678
CENTRAL,1,26,End,1.0
CENTRAL,1,26,Mid,1.0137703314314181
CENTRAL,1,27,Beg,1.0283308547937842
CENTRAL,1,27,End,1.0
CENTRAL,1,27,Mid,1.0140664942664184
CENTRAL,1,28,Beg,1.0292723571209847
CENTRAL,1,28,End,1.0
CENTRAL,1,28,Mid,1.014530609257791
CENTRAL,1,29,Beg,1.029723204325664
CENTRAL,1,29,End,1.0
CENTRAL,1,29,Mid,1.014752779905364
CENTRAL,1,30,Beg,1.0302042386634513
CENTRAL,1,30,End,1.0
CENTRAL,1,30,Mid,1.0149897726890904
CENTRAL,1,31,Beg,1.0310265254230793
CENTRAL,1,31,End,1.0
CENTRAL,1,31,Mid,1.0153947633423561
CENTRAL,1,32,Beg,1.0309458476869862
CENTRAL,1,32,End,1.0
CENTRAL,1,32,Mid,1.0153550352891278
CENTRAL,1,33,Beg,1.031828695489915
CENTRAL,1,33,End,1.0
CENTRAL,1,33,Mid,1.0157896905806412
CENTRAL,1,34,Beg,1.0317478707657637
CENTRAL,1,34,End,1.0
CENTRAL,1,34,Mid,1.0157499056193724
CENTRAL,1,35,Beg,1.032339797334914
CENTRAL,1,35,End,1.0
CENTRAL,1,35,Mid,1.0160412380090258
CENTRAL,1,36,Beg,1.0326003727725086
CENTRAL,1,36,End,1.0
CENTRAL,1,36,Mid,1.0161694606572806
CENTRAL,1,37,Beg,1.0324893415366254
CENTRAL,1,37,End,1.0
CENTRAL,1,37,Mid,1.0161148269445857
CENTRAL,1,38,Beg,1.0331115728546445
CENTRAL,1,38,End,1.0
CENTRAL,1,38,Mid,1.0164209624238592
CENTRAL,1,39,Beg,1.0329803917901272
CENTRAL,1,39,End,1.0
CENTRAL,1,39,Mid,1.016356429502036
CENTRAL,1,40,Beg,1.0332209378739359
CENTRAL,1,40,End,1.0
CENTRAL,1,40,Mid,1.0164747600771677
