cd_choc_s2_gse,intraperiod,deflateur,scenario,period
CENTRAL,Beg,1.0,1,0
CENTRAL,End,1.0,1,0
CENTRAL,Mid,1.0,1,0
CENTRAL,Beg,1.0,1,1
CENTRAL,End,0.9692176475149259,1,1
CENTRAL,Mid,0.9844885207634093,1,1
CENTRAL,Beg,1.0,1,2
CENTRAL,End,0.9669857783309894,1,2
CENTRAL,Mid,0.9833543503391793,1,2
CENTRAL,Beg,1.0,1,3
CENTRAL,End,0.9706924106719715,1,3
CENTRAL,Mid,0.985237235731563,1,3
CENTRAL,Beg,1.0,1,4
CENTRAL,End,0.9708817875414532,1,4
CENTRAL,Mid,0.9853333382878371,1,4
CENTRAL,Beg,1.0,1,5
CENTRAL,End,0.9704305658599282,1,5
CENTRAL,Mid,0.9851043426256572,1,5
CENTRAL,Beg,1.0,1,6
CENTRAL,End,0.9708260545259774,1,6
CENTRAL,Mid,0.985305056581959,1,6
CENTRAL,Beg,1.0,1,7
CENTRAL,End,0.9710899387636882,1,7
CENTRAL,Mid,0.98543895740106,1,7
CENTRAL,Beg,1.0,1,8
CENTRAL,End,0.9703932364708248,1,8
CENTRAL,Mid,0.9850853955220453,1,8
CENTRAL,Beg,1.0,1,9
CENTRAL,End,0.9698944623399771,1,9
CENTRAL,Mid,0.9848322000929789,1,9
CENTRAL,Beg,1.0,1,10
CENTRAL,End,0.9696686954737679,1,10
CENTRAL,Mid,0.9847175714253138,1,10
CENTRAL,Beg,1.0,1,11
CENTRAL,End,0.9691797528626682,1,11
CENTRAL,Mid,0.9844692747174328,1,11
CENTRAL,Beg,1.0,1,12
CENTRAL,End,0.9716270901634276,1,12
CENTRAL,Mid,0.9857114639504948,1,12
CENTRAL,Beg,1.0,1,13
CENTRAL,End,0.9717875664556508,1,13
CENTRAL,Mid,0.9857928618404836,1,13
CENTRAL,Beg,1.0,1,14
CENTRAL,End,0.9725801844269,1,14
CENTRAL,Mid,0.9861948004460883,1,14
CENTRAL,Beg,1.0,1,15
CENTRAL,End,0.9747635863558255,1,15
CENTRAL,Mid,0.987301162946659,1,15
CENTRAL,Beg,1.0,1,16
CENTRAL,End,0.9779312420541871,1,16
CENTRAL,Mid,0.9889040610970242,1,16
CENTRAL,Beg,1.0,1,17
CENTRAL,End,0.9804649187001144,1,17
CENTRAL,Mid,0.9901842852217532,1,17
CENTRAL,Beg,1.0,1,18
CENTRAL,End,0.9814041973658942,1,18
CENTRAL,Mid,0.9906584665594365,1,18
CENTRAL,Beg,1.0,1,19
CENTRAL,End,0.9815904433392542,1,19
CENTRAL,Mid,0.9907524632012047,1,19
CENTRAL,Beg,1.0,1,20
CENTRAL,End,0.9806781676888399,1,20
CENTRAL,Mid,0.990291960832178,1,20
CENTRAL,Beg,1.0,1,21
CENTRAL,End,0.9790786963787753,1,21
CENTRAL,Mid,0.9894840556465655,1,21
CENTRAL,Beg,1.0,1,22
CENTRAL,End,0.9775563021119754,1,22
CENTRAL,Mid,0.9887144694561596,1,22
CENTRAL,Beg,1.0,1,23
CENTRAL,End,0.9761873313772043,1,23
CENTRAL,Mid,0.9880219285912657,1,23
CENTRAL,Beg,1.0,1,24
CENTRAL,End,0.9750475892845893,1,24
CENTRAL,Mid,0.9874449803835095,1,24
CENTRAL,Beg,1.0,1,25
CENTRAL,End,0.9742124817886876,1,25
CENTRAL,Mid,0.9870220270027855,1,25
CENTRAL,Beg,1.0,1,26
CENTRAL,End,0.9730179354464382,1,26
CENTRAL,Mid,0.9864167149062499,1,26
CENTRAL,Beg,1.0,1,27
CENTRAL,End,0.97244966961585,1,27
CENTRAL,Mid,0.9861286273178819,1,27
CENTRAL,Beg,1.0,1,28
CENTRAL,End,0.9715601444860876,1,28
CENTRAL,Mid,0.985677505316058,1,28
CENTRAL,Beg,1.0,1,29
CENTRAL,End,0.971134763011261,1,29
CENTRAL,Mid,0.985461700428414,1,29
CENTRAL,Beg,1.0,1,30
CENTRAL,End,0.9706813100452418,1,30
CENTRAL,Mid,0.9852316022363685,1,30
CENTRAL,Beg,1.0,1,31
CENTRAL,End,0.9699071511178167,1,31
CENTRAL,Mid,0.9848386421733343,1,31
CENTRAL,Beg,1.0,1,32
CENTRAL,End,0.9699830522074309,1,32
CENTRAL,Mid,0.984877176203932,1,32
CENTRAL,Beg,1.0,1,33
CENTRAL,End,0.9691531204462166,1,33
CENTRAL,Mid,0.9844557483433253,1,33
CENTRAL,Beg,1.0,1,34
CENTRAL,End,0.9692290416434778,1,34
CENTRAL,Mid,0.9844943075729173,1,34
CENTRAL,Beg,1.0,1,35
CENTRAL,End,0.9686733017380494,1,35
CENTRAL,Mid,0.9842120207242184,1,35
CENTRAL,Beg,1.0,1,36
CENTRAL,End,0.9684288582184244,1,36
CENTRAL,Mid,0.9840878305407624,1,36
CENTRAL,Beg,1.0,1,37
CENTRAL,End,0.9685330005554611,1,37
CENTRAL,Mid,0.9841407422495326,1,37
CENTRAL,Beg,1.0,1,38
CENTRAL,End,0.9679496641750396,1,38
CENTRAL,Mid,0.9838443292386451,1,38
CENTRAL,Beg,1.0,1,39
CENTRAL,End,0.9680725868058608,1,39
CENTRAL,Mid,0.9839067978248045,1,39
CENTRAL,Beg,1.0,1,40
CENTRAL,End,0.9678472080305547,1,40
CENTRAL,Mid,0.9837922585742148,1,40
