cd_choc_s2_gse,scenario,period,facteur_perf_tot,cd_classe_actif,tx_dividendes,facteur_perf_net
CENTRAL,1,1,1.03176,ACTION,0.0,1.03176
CENTRAL,1,1,1.03176,IMMOBILIER,0.0,1.03176
CENTRAL,1,2,1.0341413725091106,ACTION,0.0,1.0341413725091106
CENTRAL,1,2,1.0341413725091106,IMMOBILIER,0.0,1.0341413725091106
CENTRAL,1,3,1.0301924574724346,ACTION,0.0,1.0301924574724346
CENTRAL,1,3,1.0301924574724346,IMMOBILIER,0.0,1.0301924574724346
CENTRAL,1,4,1.029991511667226,ACTION,0.0,1.029991511667226
CENTRAL,1,4,1.029991511667226,IMMOBILIER,0.0,1.029991511667226
CENTRAL,1,5,1.030470427437402,ACTION,0.0,1.030470427437402
CENTRAL,1,5,1.030470427437402,IMMOBILIER,0.0,1.030470427437402
CENTRAL,1,6,1.0300506412431085,ACTION,0.0,1.0300506412431085
CENTRAL,1,6,1.0300506412431085,IMMOBILIER,0.0,1.0300506412431085
CENTRAL,1,7,1.0297707350084562,ACTION,0.0,1.0297707350084562
CENTRAL,1,7,1.0297707350084562,IMMOBILIER,0.0,1.0297707350084562
CENTRAL,1,8,1.0305100678945893,ACTION,0.0,1.0305100678945893
CENTRAL,1,8,1.0305100678945893,IMMOBILIER,0.0,1.0305100678945893
CENTRAL,1,9,1.0310400139695508,ACTION,0.0,1.0310400139695508
CENTRAL,1,9,1.0310400139695508,IMMOBILIER,0.0,1.0310400139695508
CENTRAL,1,10,1.0312800698504685,ACTION,0.0,1.0312800698504685
CENTRAL,1,10,1.0312800698504685,IMMOBILIER,0.0,1.0312800698504685
CENTRAL,1,11,1.0318003415220942,ACTION,0.0,1.0318003415220942
CENTRAL,1,11,1.0318003415220942,IMMOBILIER,0.0,1.0318003415220942
CENTRAL,1,12,1.029201439650885,ACTION,0.0,1.029201439650885
CENTRAL,1,12,1.029201439650885,IMMOBILIER,0.0,1.029201439650885
CENTRAL,1,13,1.0290314823097058,ACTION,0.0,1.0290314823097058
CENTRAL,1,13,1.0290314823097058,IMMOBILIER,0.0,1.0290314823097058
CENTRAL,1,14,1.028192858555161,ACTION,0.0,1.028192858555161
CENTRAL,1,14,1.028192858555161,IMMOBILIER,0.0,1.028192858555161
CENTRAL,1,15,1.0258897788114156,ACTION,0.0,1.0258897788114156
CENTRAL,1,15,1.0258897788114156,IMMOBILIER,0.0,1.0258897788114156
CENTRAL,1,16,1.022566778723069,ACTION,0.0,1.022566778723069
CENTRAL,1,16,1.022566778723069,IMMOBILIER,0.0,1.022566778723069
CENTRAL,1,17,1.0199243042023216,ACTION,0.0,1.0199243042023216
