cd_choc_s2_gse,cd_choc_s2_passif_ic_fgx,tx_choc_expense_inflation,cd_table,cd_trajectoire,dt_trajectoire,scenario,period,maturite,tx_inflation,facteur_inflation_cum
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,0,1,0.0,1.0
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,1,1,0.01,1.01
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,2,1,0.01,1.0201
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,3,1,0.01,1.030301
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,4,1,0.01,1.04060401
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,5,1,0.01,1.0510100501
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,6,1,0.01,1.061520150601
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,7,1,0.01,1.0721353521070098
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,8,1,0.01,1.08285670562808
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,9,1,0.01,1.0936852726843609
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,10,1,0.01,1.1046221254112045
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,11,1,0.01,1.1156683466653166
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,12,1,0.01,1.1268250301319698
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,13,1,0.01,1.1380932804332895
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,14,1,0.01,1.1494742132376223
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,15,1,0.01,1.1609689553699987
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,16,1,0.01,1.1725786449236986
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,17,1,0.01,1.1843044313729356
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,18,1,0.01,1.196147475686665
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,19,1,0.01,1.2081089504435316
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,20,1,0.01,1.220190039947967
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,21,1,0.01,1.2323919403474468
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,22,1,0.01,1.2447158597509214
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,23,1,0.01,1.2571630183484306
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,24,1,0.01,1.269734648531915
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,25,1,0.01,1.282431995017234
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,26,1,0.01,1.2952563149674063
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,27,1,0.01,1.3082088781170804
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,28,1,0.01,1.3212909668982513
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,29,1,0.01,1.334503876567234
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,30,1,0.01,1.3478489153329063
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,31,1,0.01,1.3613274044862353
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,32,1,0.01,1.3749406785310978
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,33,1,0.01,1.3886900853164088
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,34,1,0.01,1.402576986169573
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,35,1,0.01,1.4166027560312686
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,36,1,0.01,1.4307687835915812
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,37,1,0.01,1.445076471427497
CENTRAL,CENTRAL,0.0,gse_2212_ssva,reel,2022-12-31,1,38,1,0.01,1.4595272361417722
