cd_choc_s2_gse,maturite,intraperiod,pzc,scenario,period
CENTRAL,0,Beg,1.0,1,0
CENTRAL,0,End,1.0,1,0
CENTRAL,0,Mid,1.0,1,0
CENTRAL,1,Beg,1.0,1,0
CENTRAL,1,End,0.9692176475149259,1,0
CENTRAL,1,Mid,0.9844885207634093,1,0
CENTRAL,2,Beg,0.9692176475149259,1,0
CENTRAL,2,End,0.9372196812543512,1,0
CENTRAL,2,Mid,0.9530843901093076,1,0
CENTRAL,3,Beg,0.9372196812543512,1,0
CENTRAL,3,End,0.9097520317260029,1,0
CENTRAL,3,Mid,0.9233837280322535,1,0
CENTRAL,4,Beg,0.9097520317260029,1,0
CENTRAL,4,End,0.8832616787816105,1,0
CENTRAL,4,Mid,0.8964090064347248,1,0
CENTRAL,5,Beg,0.8832616787816105,1,0
CENTRAL,5,End,0.8571441307424285,1,0
CENTRAL,5,Mid,0.8701049154425928,1,0
CENTRAL,6,Beg,0.8571441307424285,1,0
CENTRAL,6,End,0.8321378546087703,1,0
CENTRAL,6,Mid,0.8445484462400625,1,0
CENTRAL,7,Beg,0.8321378546087703,1,0
CENTRAL,7,End,0.8080806982749776,1,0
CENTRAL,7,Mid,0.8200210598596215,1,0
CENTRAL,8,Beg,0.8080806982749776,1,0
CENTRAL,8,End,0.7841560441286596,1,0
CENTRAL,8,Mid,0.796028494273937,1,0
CENTRAL,9,Beg,0.7841560441286596,1,0
CENTRAL,9,End,0.7605486048108097,1,0
CENTRAL,9,Mid,0.7722621221554349,1,0
CENTRAL,10,Beg,0.7605486048108097,1,0
CENTRAL,10,End,0.737480173471292,1,0
CENTRAL,10,Mid,0.7489255750802112,1,0
CENTRAL,11,Beg,0.737480173471292,1,0
CENTRAL,11,End,0.7147508522660245,1,0
CENTRAL,11,Mid,0.7260265714957694,1,0
CENTRAL,12,Beg,0.7147508522660245,1,0
CENTRAL,12,End,0.6944712907790673,1,0
CENTRAL,12,Mid,0.7045381089470069,1,0
CENTRAL,13,Beg,0.6944712907790673,1,0
CENTRAL,13,End,0.6748785656395044,1,0
CENTRAL,13,Mid,0.6846048412031515,1,0
CENTRAL,14,Beg,0.6748785656395044,1,0
CENTRAL,14,End,0.6563735198354309,1,0
CENTRAL,14,Mid,0.6655617323661934,1,0
CENTRAL,15,Beg,0.6563735198354309,1,0
CENTRAL,15,End,0.6398090061837812,1,0
CENTRAL,15,Mid,0.6480383394609129,1,0
CENTRAL,16,Beg,0.6398090061837812,1,0
CENTRAL,16,End,0.6256892160947602,1,0
CENTRAL,16,Mid,0.6327097245415924,1,0
CENTRAL,17,Beg,0.6256892160947602,1,0
CENTRAL,17,End,0.6134663263898874,1,0
CENTRAL,17,Mid,0.6195476292097493,1,0
CENTRAL,18,Beg,0.6134663263898874,1,0
CENTRAL,18,End,0.6020584276616712,1,0
CENTRAL,18,Mid,0.6077356101872566,1,0
CENTRAL,19,Beg,0.6020584276616712,1,0
CENTRAL,19,End,0.5909747989245541,1,0
CENTRAL,19,Mid,0.596490870196845,1,0
CENTRAL,20,Beg,0.5909747989245541,1,0
CENTRAL,20,End,0.5795560829596123,1,0
CENTRAL,20,Mid,0.5852375924293988,1,0
CENTRAL,21,Beg,0.5795560829596123,1,0
CENTRAL,21,End,0.5674310141824865,1,0
CENTRAL,21,Mid,0.5734615034415145,1,0
CENTRAL,22,Beg,0.5674310141824865,1,0
CENTRAL,22,End,0.5546957639278794,1,0
CENTRAL,22,Mid,0.5610272541404078,1,0
CENTRAL,23,Beg,0.5546957639278794,1,0
CENTRAL,23,End,0.5414869775149963,1,0
CENTRAL,23,Mid,0.5480515784574289,1,0
CENTRAL,24,Beg,0.5414869775149963,1,0
CENTRAL,24,End,0.5279755720549958,1,0
CENTRAL,24,Mid,0.5346885978902214,1,0
CENTRAL,25,Beg,0.5279755720549958,1,0
CENTRAL,25,End,0.5143603923754995,1,0
CENTRAL,25,Mid,0.5211235193376772,1,0
CENTRAL,26,Beg,0.5143603923754995,1,0
CENTRAL,26,End,0.5004818870646284,1,0
CENTRAL,26,Mid,0.5073736885249299,1,0
CENTRAL,27,Beg,0.5004818870646284,1,0
CENTRAL,27,End,0.486693445724715,1,0
CENTRAL,27,Mid,0.4935395162885052,1,0
CENTRAL,28,Beg,0.486693445724715,1,0
CENTRAL,28,End,0.47285195444873596,1,0
CENTRAL,28,Mid,0.47972278143561337,1,0
CENTRAL,29,Beg,0.47285195444873596,1,0
CENTRAL,29,End,0.45920297072298477,1,0
CENTRAL,29,Mid,0.4659774910819503,1,0
CENTRAL,30,Beg,0.45920297072298477,1,0
CENTRAL,30,End,0.4457397411980537,1,0
CENTRAL,30,Mid,0.4524212785971065,1,0
CENTRAL,31,Beg,0.4457397411980537,1,0
CENTRAL,31,End,0.4323261625253972,1,0
CENTRAL,31,Mid,0.43898172148418463,1,0
CENTRAL,32,Beg,0.4323261625253972,1,0
CENTRAL,32,End,0.4193490506755106,1,0
CENTRAL,32,Mid,0.42578817014709536,1,0
CENTRAL,33,Beg,0.4193490506755106,1,0
CENTRAL,33,End,0.4064134410183297,1,0
CENTRAL,33,Mid,0.4128305834998228,1,0
CENTRAL,34,Beg,0.4064134410183297,1,0
CENTRAL,34,End,0.3939077099492238,1,0
CENTRAL,34,Mid,0.40011171920366717,1,0
CENTRAL,35,Beg,0.3939077099492238,1,0
CENTRAL,35,End,0.38156788197658853,1,0
CENTRAL,35,Mid,0.3876887031879749,1,0
CENTRAL,36,Beg,0.38156788197658853,1,0
CENTRAL,36,End,0.36952134827541017,1,0
CENTRAL,36,Mid,0.3754963091783747,1,0
CENTRAL,37,Beg,0.36952134827541017,1,0
