cd_choc_s2,cd_choc_s2_gse,scenario,period,intraperiod,cd_societe,cd_canton,cd_type_flux,mt_cf
CENTRAL,CENTRAL,1,1,Beg,ACCENTURE,C00001,mt_prst_rt_eu_net,-1328554.3958659112
CENTRAL,CENTRAL,1,1,Beg,ACCENTURE,C00001,mt_prst_dc_eu_net,-80578.46771236842
CENTRAL,CENTRAL,1,1,Beg,ACCENTURE,C00001,mt_prst_rt_eu_chgt,-27113.355017671678
CENTRAL,CENTRAL,1,1,Beg,ACCENTURE,C00001,mt_prst_dc_eu_chgt,-1644.4585247422126
CENTRAL,CENTRAL,1,1,Beg,ACCENTURE,C00001,mt_fgse_eu,-217595.31499374358
CENTRAL,CENTRAL,1,1,Beg,ACCENTURE,C00001,mt_prst_rt_uc_net,-473343.16774805076
CENTRAL,CENTRAL,1,1,Beg,ACCENTURE,C00001,mt_prst_dc_uc_net,-28708.29979362071
CENTRAL,CENTRAL,1,1,Beg,ACCENTURE,C00001,mt_prst_rt_uc_chgt,-9660.0646479194
CENTRAL,CENTRAL,1,1,Beg,ACCENTURE,C00001,mt_prst_dc_uc_chgt,-585.8836692575657
CENTRAL,CENTRAL,1,1,Beg,ACCENTURE,C00001,mt_fgse_uc,-110483.66493997897
CENTRAL,CENTRAL,1,2,Beg,ACCENTURE,C00001,mt_prst_rt_eu_net,-1523429.7917100112
CENTRAL,CENTRAL,1,2,Beg,ACCENTURE,C00001,mt_prst_dc_eu_net,-85926.068139013
CENTRAL,CENTRAL,1,2,Beg,ACCENTURE,C00001,mt_prst_rt_eu_chgt,-31090.40391244923
CENTRAL,CENTRAL,1,2,Beg,ACCENTURE,C00001,mt_prst_dc_eu_chgt,-1753.5932273267956
CENTRAL,CENTRAL,1,2,Beg,ACCENTURE,C00001,mt_fgse_eu,-216253.78652254885
CENTRAL,CENTRAL,1,2,Beg,ACCENTURE,C00001,mt_prst_rt_uc_net,-543104.0865887129
CENTRAL,CENTRAL,1,2,Beg,ACCENTURE,C00001,mt_prst_dc_uc_net,-30631.439063591435
CENTRAL,CENTRAL,1,2,Beg,ACCENTURE,C00001,mt_prst_rt_uc_chgt,-11083.756869157405
CENTRAL,CENTRAL,1,2,Beg,ACCENTURE,C00001,mt_prst_dc_uc_chgt,-625.1314094610498
CENTRAL,CENTRAL,1,2,Beg,ACCENTURE,C00001,mt_fgse_uc,-109930.96749107631
CENTRAL,CENTRAL,1,3,Beg,ACCENTURE,C00001,mt_prst_rt_eu_net,-1382673.5140659115
CENTRAL,CENTRAL,1,3,Beg,ACCENTURE,C00001,mt_prst_dc_eu_net,-91477.14540635787
CENTRAL,CENTRAL,1,3,Beg,ACCENTURE,C00001,mt_prst_rt_eu_chgt,-28217.826817671677
CENTRAL,CENTRAL,1,3,Beg,ACCENTURE,C00001,mt_prst_dc_eu_chgt,-1866.880518497099
CENTRAL,CENTRAL,1,3,Beg,ACCENTURE,C00001,mt_fgse_eu,-217075.65490887672
CENTRAL,CENTRAL,1,3,Beg,ACCENTURE,C00001,mt_prst_rt_uc_net,-492438.3797096652
CENTRAL,CENTRAL,1,3,Beg,ACCENTURE,C00001,mt_prst_dc_uc_net,-32578.680232580242
CENTRAL,CENTRAL,1,3,Beg,ACCENTURE,C00001,mt_prst_rt_uc_chgt,-10049.76285121766
CENTRAL,CENTRAL,1,3,Beg,ACCENTURE,C00001,mt_prst_dc_uc_chgt,-664.8710251546988
CENTRAL,CENTRAL,1,3,Beg,ACCENTURE,C00001,mt_fgse_uc,-110134.6917056808
