scenario,period,evenement,cd_choc_s2,cd_choc_s2_gse,cd_trajectoire,dt_trajectoire,cd_societe,cd_canton,cd_classe_actif,cd_classe_actif_detail,cd_isin,mt_vm,mt_vc,tx_action_t1,tx_action_t2,tx_action_strat,mt_pdd,mt_vm_av,mt_vc_av,mt_pfi,mt_cf,mt_fuite_eco,mt_fuite_vc
1,0,0.Init,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,6208125.0,6208125.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0.Init,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,2445625.0,2445625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,6405295.05,6208125.0,1.0,0.0,0.0,0.0,6208125.0,6208125.0,0.0,0.0,0.0,0.0
1,1,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,2523298.05,2445625.0,0.0,0.0,0.0,0.0,2445625.0,2445625.0,0.0,0.0,0.0,0.0
1,1,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,5357155.859999999,5192250.0,1.0,0.0,0.0,0.0,6405295.05,6208125.0,0.0,1048139.1900000004,0.0,0.0
1,1,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,3571437.2400000007,2445625.0,0.0,0.0,0.0,0.0,2523298.05,2445625.0,0.0,-1048139.1900000009,0.0,0.0
1,2,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,5540056.513805624,5192250.0,1.0,0.0,0.0,0.0,5357155.859999999,5192250.0,0.0,0.0,0.0,0.0
1,2,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,3693371.0092037506,2445625.0,0.0,0.0,0.0,0.0,3571437.2400000007,2445625.0,0.0,0.0,0.0,0.0
1,2,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,5540056.513805625,5192250.0,1.0,0.0,0.0,0.0,5540056.513805624,5192250.0,0.0,-9.313225746154785e-10,0.0,0.0
1,2,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,3693371.00920375,2445624.9999999995,0.0,0.0,0.0,0.0,3693371.0092037506,2445625.0,0.0,4.656612873077393e-10,0.0,0.0
1,3,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,5707324.4344935855,5192250.0,1.0,0.0,0.0,0.0,5540056.513805625,5192250.0,0.0,0.0,0.0,0.0
1,3,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,3804882.9563290575,2445624.9999999995,0.0,0.0,0.0,0.0,3693371.00920375,2445624.9999999995,0.0,0.0,0.0,0.0
