cd_choc_s2,scenario,period,evenement,cd_societe,cd_canton,cd_classe_actif,mt_vm_av,mt_vm,mt_vc_av,mt_vc,mt_pfi,mt_cf,mt_pdd,mt_fuite_eco,mt_fuite_vc
CENTRAL,1,0,0.Init,ACCENTURE,C00001,ACTION,0.0,6208125.0,0.0,6208125.0,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,IMMOBILIER,0.0,2445625.0,0.0,2445625.0,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,1,1.Perf,ACCENTURE,C00001,ACTION,6208125.0,6405295.05,6208125.0,6208125.0,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,1,1.Perf,ACCENTURE,C00001,IMMOBILIER,2445625.0,2523298.05,2445625.0,2445625.0,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,1,2.StratInv,ACCENTURE,C00001,ACTION,6405295.05,5357155.859999999,6208125.0,5192250.0,0.0,1048139.1900000004,0.0,0.0,0.0
CENTRAL,1,1,2.StratInv,ACCENTURE,C00001,IMMOBILIER,2523298.05,3571437.2400000007,2445625.0,2445625.0,0.0,-1048139.1900000009,0.0,0.0,0.0
CENTRAL,1,2,1.Perf,ACCENTURE,C00001,ACTION,5357155.859999999,5540056.513805624,5192250.0,5192250.0,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,2,1.Perf,ACCENTURE,C00001,IMMOBILIER,3571437.2400000007,3693371.0092037506,2445625.0,2445625.0,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,2,2.StratInv,ACCENTURE,C00001,IMMOBILIER,3693371.0092037506,3693371.00920375,2445625.0,2445624.9999999995,0.0,4.656612873077393e-10,0.0,0.0,0.0
CENTRAL,1,2,2.StratInv,ACCENTURE,C00001,ACTION,5540056.513805624,5540056.513805625,5192250.0,5192250.0,0.0,-9.313225746154785e-10,0.0,0.0,0.0
CENTRAL,1,3,1.Perf,ACCENTURE,C00001,IMMOBILIER,3693371.00920375,3804882.9563290575,2445624.9999999995,2445624.9999999995,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,3,1.Perf,ACCENTURE,C00001,ACTION,5540056.513805625,5707324.4344935855,5192250.0,5192250.0,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,3,2.StratInv,ACCENTURE,C00001,IMMOBILIER,3804882.9563290575,3804882.9563290575,2445624.9999999995,2445624.9999999995,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,3,2.StratInv,ACCENTURE,C00001,ACTION,5707324.4344935855,5707324.4344935855,5192250.0,5192250.0,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,4,1.Perf,ACCENTURE,C00001,IMMOBILIER,3804882.9563290575,3918997.14790623,2445624.9999999995,2445624.9999999995,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,4,1.Perf,ACCENTURE,C00001,ACTION,5707324.4344935855,5878495.721859344,5192250.0,5192250.0,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,4,2.StratInv,ACCENTURE,C00001,ACTION,5878495.721859344,5878495.721859344,5192250.0,5192250.0,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,4,2.StratInv,ACCENTURE,C00001,IMMOBILIER,3918997.14790623,3918997.14790623,2445624.9999999995,2445624.9999999995,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,5,1.Perf,ACCENTURE,C00001,ACTION,5878495.721859344,6057615.999193337,5192250.0,5192250.0,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,5,1.Perf,ACCENTURE,C00001,IMMOBILIER,3918997.14790623,4038410.6661288915,2445624.9999999995,2445624.9999999995,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,5,2.StratInv,ACCENTURE,C00001,IMMOBILIER,4038410.6661288915,4038410.6661288925,2445624.9999999995,2445624.999999999,0.0,-9.313225746154785e-10,0.0,0.0,0.0
CENTRAL,1,5,2.StratInv,ACCENTURE,C00001,ACTION,6057615.999193337,6057615.999193338,5192250.0,5192250.0,0.0,-9.313225746154785e-10,0.0,0.0,0.0
CENTRAL,1,6,1.Perf,ACCENTURE,C00001,IMMOBILIER,4038410.6661288925,4159767.4962490746,2445624.999999999,2445624.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,6,1.Perf,ACCENTURE,C00001,ACTION,6057615.999193338,6239651.244373611,5192250.0,5192250.0,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,6,2.StratInv,ACCENTURE,C00001,ACTION,6239651.244373611,6239651.244373611,5192250.0,5192250.0,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,6,2.StratInv,ACCENTURE,C00001,IMMOBILIER,4159767.4962490746,4159767.4962490746,2445624.999999999,2445624.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,7,1.Perf,ACCENTURE,C00001,ACTION,6239651.244373611,6425410.248115042,5192250.0,5192250.0,0.0,0.0,0.0,-9.313225746154785e-10,0.0
CENTRAL,1,7,1.Perf,ACCENTURE,C00001,IMMOBILIER,4159767.4962490746,4283606.832076695,2445624.999999999,2445624.999999999,0.0,0.0,0.0,-9.313225746154785e-10,0.0
CENTRAL,1,7,2.StratInv,ACCENTURE,C00001,ACTION,6425410.248115042,6425410.248115042,5192250.0,5192250.0,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,7,2.StratInv,ACCENTURE,C00001,IMMOBILIER,4283606.832076695,4283606.832076695,2445624.999999999,2445624.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,8,1.Perf,ACCENTURE,C00001,IMMOBILIER,4283606.832076695,4414299.967357081,2445624.999999999,2445624.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,8,1.Perf,ACCENTURE,C00001,ACTION,6425410.248115042,6621449.9510356225,5192250.0,5192250.0,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,8,2.StratInv,ACCENTURE,C00001,ACTION,6621449.9510356225,6621449.951035622,5192250.0,5192249.999999999,0.0,9.313225746154785e-10,0.0,0.0,0.0
CENTRAL,1,8,2.StratInv,ACCENTURE,C00001,IMMOBILIER,4414299.967357081,4414299.967357081,2445624.999999999,2445624.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,9,1.Perf,ACCENTURE,C00001,IMMOBILIER,4414299.967357081,4551319.900009633,2445624.999999999,2445624.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,9,1.Perf,ACCENTURE,C00001,ACTION,6621449.951035622,6826979.850014449,5192249.999999999,5192249.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,9,2.StratInv,ACCENTURE,C00001,ACTION,6826979.850014449,6826979.850014449,5192249.999999999,5192249.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,9,2.StratInv,ACCENTURE,C00001,IMMOBILIER,4551319.900009633,4551319.900009633,2445624.999999999,2445624.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,10,1.Perf,ACCENTURE,C00001,ACTION,6826979.850014449,7040528.256590642,5192249.999999999,5192249.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,10,1.Perf,ACCENTURE,C00001,IMMOBILIER,4551319.900009633,4693685.504393762,2445624.999999999,2445624.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,10,2.StratInv,ACCENTURE,C00001,IMMOBILIER,4693685.504393762,4693685.504393762,2445624.999999999,2445624.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,10,2.StratInv,ACCENTURE,C00001,ACTION,7040528.256590642,7040528.256590642,5192249.999999999,5192249.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,11,1.Perf,ACCENTURE,C00001,ACTION,7040528.256590642,7264419.459646179,5192249.999999999,5192249.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,11,1.Perf,ACCENTURE,C00001,IMMOBILIER,4693685.504393762,4842946.306430787,2445624.999999999,2445624.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,11,2.StratInv,ACCENTURE,C00001,IMMOBILIER,4842946.306430787,4842946.306430787,2445624.999999999,2445624.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,11,2.StratInv,ACCENTURE,C00001,ACTION,7264419.459646179,7264419.459646181,5192249.999999999,5192249.999999999,0.0,-1.862645149230957e-9,0.0,0.0,0.0
CENTRAL,1,12,1.Perf,ACCENTURE,C00001,ACTION,7264419.459646181,7476550.966095754,5192249.999999999,5192249.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,12,1.Perf,ACCENTURE,C00001,IMMOBILIER,4842946.306430787,4984367.310730502,2445624.999999999,2445624.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,12,2.StratInv,ACCENTURE,C00001,ACTION,7476550.966095754,7476550.966095753,5192249.999999999,5192249.999999998,0.0,9.313225746154785e-10,0.0,0.0,0.0
CENTRAL,1,12,2.StratInv,ACCENTURE,C00001,IMMOBILIER,4984367.310730502,4984367.310730502,2445624.999999999,2445624.999999999,0.0,0.0,0.0,0.0,0.0
